Id|Brent oil price|East Asia LNG price|Europe Continental gas price|Henry Hub Gas price Forward Case|Henry Hub Gas price High Case|Henry Hub Gas price Low Case|Henry Hub Gas price Mid Case|UK gas price|Henry Hub gas price|Brent Oil price Forward Case|Brent Oil price High Case|Brent Oil price Low Case|Brent Oil price Mid Case|WTI Cushing oil price|Year|Brent Oil price Low Low Case|Brent Oil price Mid Low Case|Brent Oil price Low Low Low Case|Brent Oil price Mid Low Low Case|Brent Oil price Mid Mid Low Case|Brent Oil price Mid Mid Low Low Case|Henry Hub Gas price Low Low Low Case|Henry Hub Gas price Mid Low Low Case|Henry Hub Gas price Mid Mid Low Case|Henry Hub Gas price Mid Mid Low Low Case
115|100.160003662|17.020000458|9.380000114|4.53000021|4.53000021|4.53000021|4.53000021|8.630000114|4.53000021|100.160003662|100.160003662|100.160003662|100.160003662|94.339996338|2014|100.160003662|100.160003662|100.16000366210938|100.16000366210938|100.16000366210938|100.16000366210938|4.5300002098083496|4.5300002098083496|4.5300002098083496|4.5300002098083496
116|53.599998474|10.090000153|6.800000191|2.720000029|2.720000029|2.720000029|2.720000029|6.699999809|2.720000029|53.599998474|53.599998474|53.599998474|53.599998474|48.759998322|2015|53.599998474|53.599998474|53.599998474121094|53.599998474121094|53.599998474121094|53.599998474121094|2.7200000286102295|2.7200000286102295|2.7200000286102295|2.7200000286102295
123|111|17.270000458|25.930000305|5.539999962|6|2|5|25.930000305|4.150000095|100.400001526|120|40|111|106|2022|30|70|20|50|80|60|1|2.5|4|3
5|0.8600000143|0.07999999821|0.1000000015|0.09000000358|0.09000000358|0.09000000358|0.09000000358|0.1000000015|0.09000000358|0.8600000143|0.8600000143|0.8600000143|0.8600000143|0.8600000143|1904|0.8600000143|0.8600000143|0.86000001430511475|0.86000001430511475|0.86000001430511475|0.86000001430511475|9.0000003576278687E-2|9.0000003576278687E-2|9.0000003576278687E-2|9.0000003576278687E-2
14|0.9499999881|0.05999999866|0.07999999821|0.09000000358|0.09000000358|0.09000000358|0.09000000358|0.07999999821|0.09000000358|0.9499999881|0.9499999881|0.9499999881|0.9499999881|0.9499999881|1913|0.9499999881|0.9499999881|0.94999998807907104|0.94999998807907104|0.94999998807907104|0.94999998807907104|9.0000003576278687E-2|9.0000003576278687E-2|9.0000003576278687E-2|9.0000003576278687E-2
16|0.6399999857|0.05000000075|0.0700000003|0.05999999866|0.05999999866|0.05999999866|0.05999999866|0.0700000003|0.05999999866|0.6399999857|0.6399999857|0.6399999857|0.6399999857|0.6399999857|1915|0.6399999857|0.6399999857|0.63999998569488525|0.63999998569488525|0.63999998569488525|0.63999998569488525|5.9999998658895493E-2|5.9999998658895493E-2|5.9999998658895493E-2|5.9999998658895493E-2
17|1.100000024|0.0700000003|0.07999999821|0.1099999994|0.1099999994|0.1099999994|0.1099999994|0.07999999821|0.1099999994|1.100000024|1.100000024|1.100000024|1.100000024|1.100000024|1916|1.100000024|1.100000024|1.1000000238418579|1.1000000238418579|1.1000000238418579|1.1000000238418579|0.10999999940395355|0.10999999940395355|0.10999999940395355|0.10999999940395355
25|1.429999948|0.09000000358|0.1299999952|0.1400000006|0.1400000006|0.1400000006|0.1400000006|0.1299999952|0.1400000006|1.429999948|1.429999948|1.429999948|1.429999948|1.429999948|1924|1.429999948|1.429999948|1.4299999475479126|1.4299999475479126|1.4299999475479126|1.4299999475479126|0.14000000059604645|0.14000000059604645|0.14000000059604645|0.14000000059604645
27|1.879999995|0.1099999994|0.1599999964|0.1899999976|0.1899999976|0.1899999976|0.1899999976|0.1599999964|0.1899999976|1.879999995|1.879999995|1.879999995|1.879999995|1.879999995|1926|1.879999995|1.879999995|1.8799999952316284|1.8799999952316284|1.8799999952316284|1.8799999952316284|0.18999999761581421|0.18999999761581421|0.18999999761581421|0.18999999761581421
34|0.6700000167|0.05000000075|0.0700000003|0.0700000003|0.0700000003|0.0700000003|0.0700000003|0.0700000003|0.0700000003|0.6700000167|0.6700000167|0.6700000167|0.6700000167|0.6700000167|1933|0.6700000167|0.6700000167|0.67000001668930054|0.67000001668930054|0.67000001668930054|0.67000001668930054|7.0000000298023224E-2|7.0000000298023224E-2|7.0000000298023224E-2|7.0000000298023224E-2
38|1.179999948|0.05999999866|0.1099999994|0.1199999973|0.1199999973|0.1199999973|0.1199999973|0.1099999994|0.1199999973|1.179999948|1.179999948|1.179999948|1.179999948|1.179999948|1937|1.179999948|1.179999948|1.1799999475479126|1.1799999475479126|1.1799999475479126|1.1799999475479126|0.11999999731779099|0.11999999731779099|0.11999999731779099|0.11999999731779099
