Id|FK_OilAndGas|FK_Asset|FK_OtherParameter|FK_LifeCycleTS|FK_LifeCycle|FK_Company|FK_HistoricCompany|FK_Reserves|FK_OilAndGasType|1P Reserves|2P Reserves|Original Resources|Remaining Resources|1P Reserves Forward Case|1P Reserves High Case|1P Reserves Low Case|1P Reserves Mid Case|1P Reserves  Low Low Case|1P Reserves Mid Low Case|1P Reserves Low Low Low Case|1P Reserves Mid Low Low Case|1P Reserves Mid Mid Low Case|1P Reserves Mid Mid Low Low Case|2P Reserves Forward Case|2P Reserves High Case|2P Reserves Low Case|2P Reserves Mid Case|2P Reserves  Low Low Case|2P Reserves Mid Low Case|2P Reserves Low Low Low Case|2P Reserves Mid Low Low Case|2P Reserves Mid Mid Low Case|2P Reserves Mid Mid Low Low Case|Original Resources Forward Case|Original Resources High Case|Original Resources Low Case|Original Resources Mid Case|Original Resources  Low Low Case|Original Resources Mid Low Case|Original Resources Low Low Low Case|Original Resources Mid Low Low Case|Original Resources Mid Mid Low Case|Original Resources Mid Mid Low Low Case|Remaining Resources Forward Case|Remaining Resources High Case|Remaining Resources Low Case|Remaining Resources Mid Case|Remaining Resources  Low Low Case|Remaining Resources Mid Low Case|Remaining Resources Low Low Low Case|Remaining Resources Mid Low Low Case|Remaining Resources Mid Mid Low Case|Remaining Resources Mid Mid Low Low Case
845709|4|113026|3|25|3|685|685|5|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.9800000190734863|0|3.9800000190734863|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
928995|12|122542|39|25|31|12830|12830|5|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
845720|4|113026|39|3|3|1084|1084|2|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.73600000143051147|0
845735|4|113026|75|3|3|1084|1084|1|11|0|0|0|0.2860000134|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.28600001335144043|0|0.26600000262260437|0|0.25499999523162842|0.28600001335144043|0.25499999523162842|0.28099998831748962|0|0.28600001335144043
845747|4|113026|75|3|3|8924|8924|3|11|0|0|0|1.700000048|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.7000000476837158|0|1.5800000429153442|0|1.5199999809265137|1.7000000476837158|1.5199999809265137|1.6699999570846558|0|1.7000000476837158
928933|4|122542|75|25|31|12830|26|5|11|0|0|0.09820000082|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.10100000351667404|0|9.6500001847743988E-2|0|9.6500001847743988E-2|0.10199999809265137|0|0|0|0|0|0|0|0|0|0|0|0|0|0
928948|4|122542|75|31|31|685|685|3|11|0|0|0|0.1350000054|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.13899999856948853|0|0.13199999928474426|0|0.13199999928474426|0.14000000059604645|0.13199999928474426|0.13199999928474426|0|0.13699999451637268
928956|4|122542|111|25|31|12830|12830|5|11|0|0|-0.7189999819|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.74000000953674316|0|-0.7070000171661377|0|-0.7070000171661377|-0.74900001287460327|0|0|0|0|0|0|0|0|0|0|0|0|0|0
928983|12|122542|3|31|31|2770|2770|2|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6.99999975040555E-4|0|6.99999975040555E-4|0|0|0|0|0|0
928999|12|122542|39|31|31|685|685|2|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9.0300001204013824E-2|0
929039|12|122542|111|31|31|2770|2770|3|8|0|0|0|-0.01169999968|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-1.2000000104308128E-2|0|-1.1500000022351742E-2|0|-1.1500000022351742E-2|-1.2099999934434891E-2|-1.1500000022351742E-2|-1.1500000022351742E-2|0|-1.1800000444054604E-2
901686|12|119380|3|3|3|8924|8924|3|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5.8499999046325684|5.9000000953674316|0|5.9000000953674316|0|5.9000000953674316|0|0|5.9000000953674316|5.7800002098083496
