Id|FK_Asset|Year|FK_Company|FK_OilAndGas|FK_DataQuality|FK_OtherParameter|FK_HistoricCompany|FK_LifeCycleTS|FK_LifeCycle|FK_OilAndGasType|Production|Production Forward Case|Production High Case|Production Low Case|Production Mid Case|Production Low Low Case|Production Mid Low Case|Production Low Low Low Case|Production Mid Low Low Case|Production Mid Mid Low Case|Production Mid Mid Low Low Case
11400480|32580|2038|10|9|29|48|10|17|8|19|\\N|\\N|0.01049999986|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N
11717216|279421|2038|685|12|29|12|685|14|8|8|\\N|\\N|0.2529999912|\\N|0.2529999912|\\N|\\N|\\N|\\N|0.25299999117851257|\\N
17650216|192071|2050|685|12|29|120|685|2|31|8|0|0|\\N|0|-0.05169999972|0|0|0|0|-0.05169999971985817|0
18116743|194793|2051|168|4|29|12|168|14|24|11|0.004800000228|0.004800000228|0.004800000228|0.004800000228|0.004800000228|0.004800000228|0.004800000228|4.8000002279877663E-3|4.8000002279877663E-3|4.8000002279877663E-3|4.8000002279877663E-3
11719441|280718|2038|685|12|29|12|685|15|6|8|\\N|\\N|0.8849999905|\\N|0.8849999905|\\N|0.8849999905|\\N|\\N|0.88499999046325684|\\N
11606789|122542|2038|2770|12|29|84|2770|14|31|8|0.0003999999899|0.0003999999899|\\N|0.0003999999899|\\N|0.0003999999899|0.0003999999899|3.9999998989515007E-4|3.9999998989515007E-4|\\N|3.9999998989515007E-4
15497430|32560|2046|685|12|29|12|685|14|14|8|0.09679999948|0.09430000186|0.08940000087|0|0.09049999714|0|0.09329999983|0|0|9.2000000178813934E-2|9.4599999487400055E-2
15497440|32566|2046|10|4|29|120|10|14|6|11|\\N|\\N|\\N|-0.1800000072|\\N|-0.1800000072|\\N|0|-0.18000000715255737|\\N|-0.18000000715255737
15497485|32575|2046|168|12|29|12|168|2|7|6|\\N|\\N|0.01350000035|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N
15497540|32580|2046|685|9|29|48|685|14|8|20|\\N|\\N|0.0003000000142|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N
15719126|194789|2046|10|9|29|12|10|14|24|18|0|0|0|0|0|0|0|0|0|0|0
15719130|194789|2046|168|2|29|12|168|14|24|10|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5
15719192|194793|2046|10|12|29|12|10|17|24|8|0.03590000048|0.03590000048|0.03590000048|0.03590000048|0.03590000048|0.03590000048|0.03590000048|3.5900000482797623E-2|3.5900000482797623E-2|3.5900000482797623E-2|3.5900000482797623E-2
15781712|238908|2046|18340|9|29|12|18340|14|24|19|9.999999747e-05|9.999999747e-05|9.999999747e-05|0|9.999999747e-05|0|9.999999747e-05|0|0|9.9999997473787516E-5|9.9999997473787516E-5
15781727|238910|2046|1084|9|29|12|1084|17|24|20|0|0|0|0|0|0|0|0|0|0|0
15667392|113026|2046|685|4|29|12|685|14|3|11|\\N|\\N|0.06199999899|\\N|0.06199999899|\\N|\\N|\\N|\\N|\\N|\\N
15667408|113026|2046|11168|4|29|12|11168|14|3|11|\\N|\\N|0.123999998|\\N|0.123999998|\\N|\\N|\\N|\\N|\\N|\\N
7695041|32567|2029|10|8|29|12|10|14|14|9|0.4909999967|0.4909999967|0.4909999967|0.4909999967|0.4909999967|0.4909999967|0.4909999967|0.49099999666213989|0.49099999666213989|0.49099999666213989|0.49099999666213989
7695091|32582|2029|18247|4|29|48|18247|17|8|11|0.3030000031|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|0.30300000309944153
7695169|32598|2029|12830|4|29|120|12830|14|9|11|-0.0006000000285|-0.0006000000285|-0.0006000000285|-0.0006000000285|-0.0006000000285|-0.0006000000285|-0.0006000000285|-6.0000002849847078E-4|-6.0000002849847078E-4|-6.0000002849847078E-4|-6.0000002849847078E-4
7695208|32604|2029|10|9|29|84|10|15|9|19|\\N|\\N|\\N|0.01279999968|\\N|0.01279999968|\\N|1.2799999676644802E-2|1.2799999676644802E-2|\\N|\\N
7695254|32604|2029|685|9|29|84|685|15|9|17|\\N|\\N|\\N|0.003100000089|\\N|0.003100000089|\\N|3.1000000890344381E-3|3.1000000890344381E-3|\\N|\\N
8025309|32561|2030|10|12|29|12|10|14|14|8|\\N|\\N|0|\\N|0|\\N|\\N|\\N|\\N|\\N|\\N
8025341|32565|2030|168|12|2|12|168|14|14|8|0.224999994|0.224999994|0.224999994|0.224999994|0.224999994|0.224999994|0.224999994|0.22499999403953552|0.22499999403953552|0.22499999403953552|0.22499999403953552
14986663|32607|2045|10|9|29|12|10|17|24|17|0.0001999999949|0.0001999999949|0.0001999999949|0.0001999999949|0.0001999999949|0.0001999999949|0.0001999999949|1.9999999494757503E-4|1.9999999494757503E-4|1.9999999494757503E-4|1.9999999494757503E-4
7694973|32558|2029|168|4|2|12|168|14|14|11|0.324000001|0.324000001|0.324000001|0.324000001|0.324000001|0.324000001|0.324000001|0.32400000095367432|0.32400000095367432|0.32400000095367432|0.32400000095367432
14986704|32621|2045|12830|9|29|12|12830|16|24|17|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5
22011350|238914|2061|18340|9|29|12|18340|14|24|20|0|0|0|0|0|0|0|0|0|0|0
